Rank,Name,Release Year,IMDb Rating,No. of User ratings,Duration,Director,Stars,Budget (estimated),Worldwide Gross
53,Apocalypse Now,1979,8.4,"619,299","147 min
|
196 min
            (Redux)
          |
330 min
            (workprint)
          |
182 min
            (Final Cut)",Francis Ford Coppola,"('Martin Sheen', 'Marlon Brando', 'Robert Duvall')","$31,500,000","$92,157,947"
54,Memento,2000,8.4,"1,149,057",113 min,Christopher Nolan,"('Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano')","$9,000,000","$40,047,078"
55,Raiders of the Lost Ark,1981,8.4,"900,873",115 min,Steven Spielberg,"('Harrison Ford', 'Karen Allen', 'Paul Freeman')","$18,000,000","$389,925,971"
56,The Great Dictator,1940,8.4,"207,652",125 min,Charles Chaplin,"('Charles Chaplin', 'Paulette Goddard', 'Jack Oakie')","$2,000,000","$969,879"
57,The Lives of Others,2006,8.4,"366,651",137 min,Florian Henckel von Donnersmarck,"('Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch')","$2,000,000","$77,356,942"
58,Django Unchained,2012,8.4,"1,395,762",165 min,Quentin Tarantino,"('Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio')","$100,000,000","$426,074,373"
59,Paths of Glory,1957,8.4,"182,805",88 min,Stanley Kubrick,"('Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou')","$935,000","$5,252"
60,Sunset Blvd.,1950,8.4,"206,157","110 min
|
104 min
            (cut)",Billy Wilder,"('William Holden', 'Gloria Swanson', 'Erich von Stroheim')","$1,752,000","$300,073"
61,WALL·E,2008,8.4,"1,023,403",98 min,Andrew Stanton,"('Ben Burtt', 'Elissa Knight', 'Jeff Garlin')","$180,000,000","$521,311,890"
62,The Shining,1980,8.4,"921,847","144 min
            (cut)
          |
119 min
            (cut)
            (European)
          |
146 min
            (original)
          |
142 min
            (US dvd release",Stanley Kubrick,"('Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd')","$19,000,000","$46,998,772"
63,Witness for the Prosecution,1957,8.4,"112,560",116 min,Billy Wilder,"('Tyrone Power', 'Marlene Dietrich', 'Charles Laughton')","$3,000,000","$7,693"
64,Avengers: Infinity War,2018,8.4,"886,519",149 min,Anthony Russo,"('Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo')","$321,000,000","$2,048,359,754"
65,Joker,2019,8.4,"1,012,012",122 min,Todd Phillips,"('Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz')","$55,000,000","$1,074,354,306"
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,"458,931",95 min,Stanley Kubrick,"('Peter Sellers', 'George C. Scott', 'Sterling Hayden')","$1,800,000","$9,523,464"
67,Spider-Man: Into the Spider-Verse,2018,8.4,"405,371","117 min
|
143 min
            (Alt Universe Cut)",Bob Persichetti,"('Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld')","$90,000,000","$375,540,831"
68,Oldeuboi,2003,8.3,"529,536",120 min,Park Chan-Wook,"('Choi Min-sik', 'Yoo Ji-Tae', 'Kang Hye-jeong')","$3,000,000","$15,107,913"
69,Mononoke-hime,1997,8.3,"354,463",134 min,Hayao Miyazaki,"('Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka')","JPY2,400,000,000","$169,785,704"
70,Hamilton,2020,8.3,"66,451",160 min,Thomas Kail,"('Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.')",N/A,N/A
71,Kimi no na wa.,2016,8.3,"211,985","106 min
|
112 min
            (dubbed)",Makoto Shinkai,"('Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita')","JPY370,000,000","$358,210,747"
72,Once Upon a Time in America,1984,8.3,"319,629","229 min
|
139 min
            (re-cut)
          |
250 min
            (extended cut)",Sergio Leone,"('Robert De Niro', 'James Woods', 'Elizabeth McGovern')","$30,000,000","$5,472,914"
73,The Dark Knight Rises,2012,8.3,"1,551,190",164 min,Christopher Nolan,"('Christian Bale', 'Tom Hardy', 'Anne Hathaway')","$250,000,000","$1,081,142,612"
74,Aliens,1986,8.3,"665,268","137 min
|
154 min
            (special edition)",James Cameron,"('Sigourney Weaver', 'Michael Biehn', 'Carrie Henn')","$18,500,000","$131,060,248"
75,Coco,2017,8.3,"410,666",105 min,Lee Unkrich,"('Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt')","$175,000,000","$807,817,888"
76,Pather Panchali,1955,8.3,"25,853","125 min
|
122 min
            (within Bengal)",Satyajit Ray,"('Kanu Bannerjee', 'Karuna Bannerjee', 'Subir Banerjee')",N/A,"$135,342"
77,Das Boot,1981,8.3,"236,291","149 min
|
208 min
            (director's cut)
          |
138 min
            (video)
          |
293 min
            (Original Uncut Version)
          |
300 min
            (Original Uncut Mini-Series Version)
          |
209 min
            (director's cut)",Wolfgang Petersen,"('Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann')","DEM32,000,000","$11,487,676"
78,Capharnaüm,2018,8.3,"70,169",126 min,Nadine Labaki,"('Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole')","$4,000,000","$64,417,003"
79,Avengers: Endgame,2019,8.3,"888,487",181 min,Anthony Russo,"('Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo')","$356,000,000","$2,797,501,328"
80,Tengoku to jigoku,1963,8.3,"37,047",143 min,Akira Kurosawa,"('Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai')",N/A,"$46,808"
81,American Beauty,1999,8.3,"1,088,063",122 min,Sam Mendes,"('Kevin Spacey', 'Annette Bening', 'Thora Birch')","$15,000,000","$356,296,601"
82,Toy Story,1995,8.3,"908,438","81 min
|
74 min
            (TV)",John Lasseter,"('Tom Hanks', 'Tim Allen', 'Don Rickles')","$30,000,000","$394,436,586"
83,Braveheart,1995,8.3,"975,620","178 min
|
225 min
            (assembly cut)",Mel Gibson,"('Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan')","$72,000,000","$213,216,216"
84,Amadeus,1984,8.3,"376,108","160 min
|
180 min
            (director's cut)",Milos Forman,"('F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge')","$18,000,000","$52,066,791"
85,3 Idiots,2009,8.3,"358,085",170 min,Rajkumar Hirani,"('Aamir Khan', 'Madhavan', 'Mona Singh')","INR550,000,000","$60,262,836"
86,Inglourious Basterds,2009,8.3,"1,304,173",153 min,Quentin Tarantino,"('Brad Pitt', 'Diane Kruger', 'Eli Roth')","$70,000,000","$321,457,747"
87,Good Will Hunting,1997,8.3,"883,525",126 min,Gus Van Sant,"('Robin Williams', 'Matt Damon', 'Ben Affleck')","$10,000,000","$225,933,435"
88,Star Wars: Episode VI - Return of the Jedi,1983,8.3,"969,378","131 min
|
134 min
            (special edition)",Richard Marquand,"('Mark Hamill', 'Harrison Ford', 'Carrie Fisher')","$32,500,000","$475,106,177"
89,2001: A Space Odyssey,1968,8.3,"616,727","149 min
|
142 min
            (theatrical release)
          |
161 min
            (initial release)",Stanley Kubrick,"('Keir Dullea', 'Gary Lockwood', 'William Sylvester')","$12,000,000","$65,802,496"
90,Reservoir Dogs,1992,8.3,"939,147",99 min,Quentin Tarantino,"('Harvey Keitel', 'Tim Roth', 'Michael Madsen')","$1,200,000","$2,913,644"
91,M - Eine Stadt sucht einen Mörder,1931,8.3,"146,912","117 min
|
110 min
            (2004 Criterion DVD edition)
          |
105 min
            (2000 restored)
          |
108 min
            (re-release)",Fritz Lang,"('Peter Lorre', 'Ellen Widmann', 'Inge Landgut')",N/A,"$35,566"
92,Taare Zameen Par,2007,8.3,"175,901",165 min,Aamir Khan,"('Darsheel Safary', 'Aamir Khan', 'Tisca Chopra')",N/A,"$21,897,373"
93,Citizen Kane,1941,8.3,"413,818",119 min,Orson Welles,"('Orson Welles', 'Joseph Cotten', 'Dorothy Comingore')","$839,727","$1,603,021"
94,Vertigo,1958,8.3,"372,723","128 min
|
129 min
            (1996 restored)",Alfred Hitchcock,"('James Stewart', 'Kim Novak', 'Barbara Bel Geddes')","$2,479,000","$7,797,728"
95,Requiem for a Dream,2000,8.3,"782,672",102 min,Darren Aronofsky,"('Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly')","$4,500,000","$7,390,108"
96,Jagten,2012,8.3,"294,542",115 min,Thomas Vinterberg,"('Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp')","$3,800,000","$15,843,274"
97,Idi i smotri,1985,8.3,"63,719","142 min
|
105 min
            (heavily cut)",Elem Klimov,"('Aleksey Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius')",N/A,"$20,929,068"
98,Singin' in the Rain,1952,8.3,"223,914",103 min,Stanley Donen,"('Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds')","$2,540,800","$1,865,056"
