Rank,Name,Release Year,IMDb Rating,No. of User ratings,Duration,Director,Stars,Budget (estimated),Worldwide Gross
38,Black Widow,2021,N/A,N/A,133 min,Cate Shortland,"('Scarlett Johansson', 'Florence Pugh', 'David Harbour')",N/A,N/A
39,Eternals,2021,N/A,N/A,N/A,Chloé Zhao,"('Gemma Chan', 'Angelina Jolie', 'Salma Hayek')",N/A,N/A
40,Mortal Kombat,2021,6.2,"114,464",110 min,Simon McQuoid,"('Lewis Tan', 'Jessica McNamee', 'Josh Lawson')",N/A,"$124,309,781"
41,Minamata,2020,8.2,"8,358",115 min,Andrew Levitas,"('Akiko Iwase', 'Johnny Depp', 'Katherine Jenkins')",N/A,"$1,581,314"
42,Avengers: Endgame,2019,8.4,"888,487",181 min,Anthony Russo,"('Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo')","$356,000,000","$2,797,501,328"
43,Nomadland,2020,7.4,"105,264",107 min,Chloé Zhao,"('Frances McDormand', 'David Strathairn', 'Linda May')",N/A,"$20,738,416"
44,The Father,2020,8.3,"71,034",97 min,Florian Zeller,"('Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss')",N/A,"$12,647,605"
45,Free Guy,2021,N/A,N/A,115 min,Shawn Levy,"('Ryan Reynolds', 'Jodie Comer', 'Taika Waititi')",N/A,N/A
46,Harry Potter and the Sorcerer's Stone,2001,7.6,"679,802","152 min
|
159 min
            (extended)",Chris Columbus,"('Daniel Radcliffe', 'Rupert Grint', 'Richard Harris')","$125,000,000","$1,006,968,171"
47,The Shawshank Redemption,1994,9.3,"2,408,198",142 min,Frank Darabont,"('Tim Robbins', 'Morgan Freeman', 'Bob Gunton')","$25,000,000","$28,817,291"
48,Jurassic World: Dominion,2022,N/A,N/A,N/A,Colin Trevorrow,"('Jake Johnson', 'Dichen Lachman', 'Chris Pratt')","$165,000,000",N/A
49,Yesterday,2019,6.8,"125,391",116 min,Danny Boyle,"('Himesh Patel', 'Lily James', 'Sophia Di Martino')","$26,000,000","$153,178,480"
50,Dune,2021,N/A,N/A,N/A,Denis Villeneuve,"('Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya')","$165,000,000",N/A
51,The Suicide Squad,2021,N/A,N/A,N/A,James Gunn,"('Margot Robbie', 'Idris Elba', 'John Cena')",N/A,N/A
52,Once Upon a Time... in Hollywood,2019,7.6,"590,428",161 min,Quentin Tarantino,"('Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie')","$90,000,000","$374,565,754"
53,The Big Lebowski,1998,8.1,"749,244",117 min,Joel Coen,"('Jeff Bridges', 'John Goodman', 'Julianne Moore')","$15,000,000","$46,748,047"
54,Stand by Me,1986,8.1,"371,577",89 min,Rob Reiner,"('Wil Wheaton', 'River Phoenix', 'Corey Feldman')","$8,000,000","$52,287,414"
55,Luca,2021,7.7,"10,769",95 min,Enrico Casarosa,"('Jacob Tremblay', 'Jack Dylan Grazer', 'Emma Berman')",N/A,"$17,271"
